date,open,high,low,close,volume
2015-03-22,259.8,272.0,259.24,269.39,1512162.68
2015-03-23,269.39,270.07,259.5,265.84,2367965.68
2015-03-24,265.84,266.52,241.84,246.93,4404982.22
2015-03-25,246.93,250.0,236.4,247.68,3276219.0
2015-03-26,247.68,253.75,244.91,249.46,2105838.57
2015-03-27,249.46,250.52,245.12,248.09,1449279.37
2015-03-28,248.09,253.83,247.17,252.31,1492447.63
2015-03-29,252.31,252.96,239.96,242.19,1608836.03
2015-03-30,242.19,248.86,236.52,247.69,1929807.46
2015-03-31,247.69,248.59,238.55,243.98,1993776.43
2015-04-01,243.98,246.83,239.32,245.98,1484287.63
2015-04-02,245.98,256.96,244.52,253.16,2471179.83
2015-04-03,253.16,256.67,251.23,253.79,1286655.62
2015-04-04,253.79,255.85,250.76,253.45,652406.55
2015-04-05,253.45,261.0,251.65,260.5,1491248.36
2015-04-06,260.5,262.98,254.0,255.83,1543244.68
2015-04-07,255.83,256.62,251.5,254.45,1522986.5
2015-04-08,254.45,254.96,243.06,244.09,2875251.66
2015-04-09,244.09,246.3,238.47,243.53,1944122.48
2015-04-10,243.53,243.94,231.0,234.77,2722903.56
2015-04-11,234.77,239.42,233.0,237.34,968919.7
2015-04-12,237.34,237.5,233.42,236.3,672985.92
2015-04-13,236.3,236.9,219.64,222.87,3166493.61
2015-04-14,222.87,224.79,210.0,216.42,4015453.32
2015-04-15,216.42,222.43,214.05,221.51,2147063.57
2015-04-16,221.51,229.67,221.51,227.59,2492640.64
2015-04-17,227.59,228.29,220.0,221.86,1291923.73
2015-04-18,221.86,224.72,220.32,223.14,947137.91
2015-04-19,223.14,227.35,221.91,222.89,1318695.12
2015-04-20,222.89,226.51,221.43,224.07,1348484.04
2015-04-21,224.07,235.61,223.91,234.13,2180368.54
2015-04-22,234.13,238.64,229.1,233.0,2603008.93
2015-04-23,233.0,236.22,232.01,235.14,1880708.15
2015-04-24,235.14,236.0,228.0,231.06,1978994.28
2015-04-25,231.06,232.29,225.7,226.28,1227435.36
2015-04-26,226.28,227.26,214.98,219.49,2470526.72
2015-04-27,219.49,229.93,217.52,226.01,3006598.56
2015-04-28,226.01,228.06,221.45,225.11,2158043.31
2015-04-29,225.11,226.99,221.81,225.49,1947334.9
2015-04-30,225.49,240.0,224.6,235.75,2909232.47
2015-05-01,235.75,239.23,231.04,231.96,1555055.46
2015-05-02,231.96,234.9,229.87,233.9,1018305.56
2015-05-03,233.9,242.25,232.31,239.18,1057142.04
2015-05-04,239.18,242.2,236.07,237.93,1709074.08
2015-05-05,237.93,238.99,229.66,234.37,2054652.32
2015-05-06,234.37,235.98,227.01,229.78,2028662.13
2015-05-07,229.78,240.0,227.35,236.82,2541351.14
2015-05-08,236.82,246.57,235.29,243.16,2320081.36
2015-05-09,243.16,247.01,238.62,241.4,1347017.52
2015-05-10,241.4,244.99,238.02,239.08,841527.88
2015-05-11,239.08,241.0,237.99,239.0,1237018.64
2015-05-12,240.06,242.0,238.56,241.3,1401760.94
2015-05-13,241.3,244.14,235.06,236.9,2223629.39
2015-05-14,236.9,239.7,232.22,236.95,1825553.83
2015-05-15,236.95,239.28,235.12,237.12,1071658.38
2015-05-16,237.12,237.4,234.0,235.6,735930.74
2015-05-17,235.6,237.0,234.15,236.05,620341.93
2015-05-18,236.05,236.94,231.44,232.24,1745036.34
2015-05-19,232.24,234.24,230.86,231.69,1294154.8
2015-05-20,231.69,234.86,231.0,233.8,1794259.53
2015-05-21,233.8,236.52,233.75,235.49,1079198.12
2015-05-22,235.49,240.9,232.92,238.99,2467303.72
2015-05-23,238.99,240.67,237.4,237.71,788510.89
2015-05-24,237.71,241.64,237.66,239.68,687061.13
2015-05-25,239.68,240.1,233.1,235.48,1252273.58
2015-05-26,235.48,236.23,235.0,236.21,111811.92
2015-05-27,236.21,237.35,234.0,235.34,2030192.16
2015-05-28,235.34,236.8,234.87,236.46,1175844.36
2015-05-29,236.46,236.52,234.0,236.02,1461920.02
2015-05-30,236.02,236.21,231.0,232.07,993683.46
2015-05-31,232.07,232.51,228.0,229.08,1013021.49
2015-06-01,229.08,231.2,220.65,223.67,2734668.41
2015-06-02,223.67,226.38,221.34,224.78,1744459.32
2015-06-03,224.78,226.99,222.57,225.11,1289882.15
2015-06-04,225.11,225.98,222.0,222.37,1098677.11
2015-06-05,222.37,225.9,219.03,224.49,1761179.04
2015-06-06,224.49,225.26,223.07,224.36,580288.75
2015-06-07,224.36,225.48,221.86,222.86,778011.72
2015-06-08,222.86,229.4,222.09,228.11,2021873.39
2015-06-09,228.11,230.79,226.67,229.49,2089239.29
2015-06-10,229.49,229.75,226.83,227.51,1449250.42
2015-06-11,227.51,229.57,227.25,229.01,1080607.18
2015-06-12,229.01,230.7,228.29,229.61,1353909.39
2015-06-13,229.61,232.03,228.06,231.51,906453.07
2015-06-14,231.51,234.0,230.94,231.77,822490.29
2015-06-15,231.77,237.09,231.55,235.92,2450622.3
2015-06-16,235.92,252.05,234.35,248.75,4215461.57
2015-06-17,248.75,257.39,243.2,245.78,4374712.59
2015-06-18,245.78,251.58,240.0,248.09,2751456.26
2015-06-19,248.09,249.93,242.14,243.42,1662685.74
2015-06-20,243.42,245.56,239.93,244.69,1091957.3
2015-06-21,244.69,245.0,241.06,243.37,476876.23
2015-06-22,243.37,247.99,242.64,247.09,1222121.12
2015-06-23,247.09,247.25,242.14,243.78,1240089.41
2015-06-24,243.78,244.14,238.2,240.69,1592022.64
2015-06-25,240.69,242.9,239.18,241.65,1245520.61
2015-06-26,241.65,243.44,240.0,243.2,1242790.18
2015-06-27,243.2,252.0,242.36,251.17,1759788.81
2015-06-28,251.17,251.4,247.04,248.9,1462975.04
2015-06-29,248.9,256.94,248.15,256.38,3891883.52
2015-06-30,256.38,268.0,255.0,264.13,5235444.48
2015-07-01,264.13,265.25,253.81,257.07,3446154.53
2015-07-02,257.07,260.77,253.19,254.69,2489354.9
2015-07-03,254.69,256.44,252.4,255.86,2204571.62
2015-07-04,255.86,261.28,254.05,260.74,2019244.25
2015-07-05,260.74,274.74,258.75,270.33,5564645.13
2015-07-06,270.33,278.54,267.13,269.47,5551215.57
2015-07-07,269.47,271.69,264.01,266.18,3633491.82
2015-07-08,266.18,273.0,263.01,269.39,3865656.2
2015-07-09,269.39,271.98,265.92,269.65,3759916.62
2015-07-10,269.65,294.71,268.63,286.61,8298807.96
2015-07-11,286.61,298.05,283.88,292.02,3354503.61
2015-07-12,292.02,317.99,291.64,310.24,6896100.33
2015-07-13,310.24,310.73,281.0,292.0,8674485.99
2015-07-14,292.0,297.13,286.02,287.96,3007819.74
2015-07-15,287.96,293.7,285.4,285.55,2654830.77
2015-07-16,285.55,292.4,274.92,277.23,6000087.33
2015-07-17,278.27,280.73,272.31,279.43,3263317.61
2015-07-18,279.43,283.0,276.73,276.73,2631336.95
2015-07-19,276.73,278.1,275.12,275.5,1359445.35
2015-07-20,275.5,279.16,274.62,277.73,2471553.26
2015-07-21,277.73,281.07,276.28,276.48,2465410.35
2015-07-22,276.48,277.93,275.0,277.93,2321796.93
2015-07-23,277.93,278.55,275.79,276.67,1824262.52
2015-07-24,276.67,290.02,275.9,289.96,3848904.21
2015-07-25,289.96,292.0,286.5,289.34,1999546.59
2015-07-26,289.34,294.0,287.41,292.84,1589174.72
2015-07-27,292.84,297.44,286.43,294.27,4226344.3
2015-07-28,294.27,297.0,292.19,293.84,2643989.23
2015-07-29,293.84,294.67,287.27,289.63,2965535.82
2015-07-30,289.63,290.23,284.53,287.73,2298107.6
2015-07-31,287.73,289.0,281.8,284.39,2218539.42
2015-08-01,284.39,285.16,276.66,280.77,1992579.09
2015-08-02,280.77,282.9,276.57,281.5,1258557.7
2015-08-03,281.5,285.8,279.52,282.72,1753353.95
2015-08-04,282.72,285.88,280.26,284.65,1798604.43
2015-08-05,284.65,285.86,280.63,281.99,1770641.93
2015-08-06,281.99,281.99,281.99,281.99,0.0
2015-08-07,281.99,281.99,277.43,279.01,1158954.0
2015-08-08,279.01,279.97,260.41,261.71,2760954.37
2015-08-09,261.71,268.95,261.01,265.36,2374804.25
2015-08-10,265.36,266.79,261.6,264.33,2579884.33
2015-08-11,264.33,270.87,263.64,270.0,2211924.7
2015-08-12,270.0,271.5,265.71,268.51,2402394.96
2015-08-13,268.51,269.37,262.32,264.65,2920632.41
2015-08-14,264.65,266.99,262.0,265.71,2139186.76
2015-08-15,265.71,266.5,260.45,261.03,1408972.75
2015-08-16,261.03,262.2,254.01,256.09,2520197.88
2015-08-17,256.09,259.12,254.63,256.66,2195673.39
2015-08-18,256.66,256.99,245.05,246.0,2922457.54
2015-08-19,246.0,246.0,221.11,227.1,6613615.77
2015-08-20,227.1,236.66,226.01,235.95,3735462.71
2015-08-21,235.95,236.66,231.77,233.27,2347247.27
2015-08-22,233.27,235.2,223.01,230.47,3667961.32
2015-08-23,230.47,234.03,227.13,228.47,1725083.07
2015-08-24,228.47,228.99,207.73,211.79,8106706.15
2015-08-25,211.79,228.04,198.12,221.64,9040638.86
2015-08-26,221.64,231.09,219.77,225.17,5543744.64
2015-08-27,225.17,228.89,223.17,223.8,3267192.5
2015-08-28,223.8,235.93,220.29,232.09,5200095.43
2015-08-29,232.09,233.9,226.67,229.23,3546302.36
2015-08-30,229.23,232.75,225.04,228.43,3604475.76
2015-08-31,228.43,232.49,224.39,229.84,3483770.74
2015-09-01,229.84,231.67,226.17,227.65,5435475.61
2015-09-02,227.65,230.77,226.0,228.77,4931694.75
2015-09-03,228.77,229.96,226.5,226.79,4489055.76
2015-09-04,226.79,231.4,226.33,231.09,4791065.22
2015-09-05,231.09,237.22,229.23,235.45,4675054.57
2015-09-06,235.45,244.2,235.02,240.45,6136017.84
2015-09-07,240.45,242.91,238.44,240.12,5569212.84
2015-09-08,240.12,246.24,239.89,244.04,5778734.49
2015-09-09,244.04,244.22,237.01,237.96,5582113.93
2015-09-10,237.96,241.65,234.78,238.5,4912126.42
2015-09-11,238.5,240.94,237.5,239.94,3310863.21
2015-09-12,239.94,240.0,233.02,235.61,2953565.27
2015-09-13,235.61,236.09,228.0,230.17,4316617.77
2015-09-14,230.17,232.92,223.99,229.51,4038784.07
2015-09-15,229.51,231.21,226.5,229.3,3761713.94
2015-09-16,229.3,230.0,223.0,227.85,3425654.89
2015-09-17,227.85,235.0,227.0,232.44,3367136.42
2015-09-18,232.44,234.4,230.83,232.82,4504783.52
2015-09-19,232.82,233.76,229.98,230.23,2603719.84
2015-09-20,230.23,231.7,229.01,230.29,3032926.37
2015-09-21,230.29,230.34,225.0,225.93,3174904.24
2015-09-22,226.15,231.96,223.12,229.59,4313428.34
2015-09-23,230.08,231.5,228.0,229.41,3115694.32
2015-09-24,229.42,235.52,228.89,233.19,5551743.34
2015-09-25,233.88,237.25,232.56,235.13,5285210.99
2015-09-26,235.14,235.67,233.0,233.89,3523048.07
2015-09-27,233.81,234.61,231.16,231.91,4019534.29
2015-09-28,232.4,239.68,231.69,239.0,4157771.7
2015-09-29,239.14,240.56,235.09,236.71,4647432.49
2015-09-30,236.78,238.27,234.67,236.65,4868955.65
2015-10-01,236.19,239.44,235.01,237.52,4755143.56
2015-10-02,237.15,239.06,235.0,237.69,4011577.62
2015-10-03,237.77,239.86,236.3,238.77,4243470.37
2015-10-04,239.06,239.98,237.62,238.4,3568930.36
2015-10-05,238.6,240.57,236.1,240.53,4783286.22
2015-10-06,240.85,248.19,239.52,246.93,6479338.48
2015-10-07,246.79,247.65,242.3,243.47,5814066.37
2015-10-08,243.47,244.76,242.06,243.41,3359588.79
2015-10-09,243.29,244.95,242.16,244.49,3428059.53
2015-10-10,244.49,246.43,243.0,245.72,4231167.2
2015-10-11,245.71,248.5,244.53,247.83,4682787.16
2015-10-12,248.05,248.47,245.01,245.48,2593320.33
2015-10-13,245.81,250.89,242.82,248.69,6351641.49
2015-10-14,249.97,255.93,248.06,252.46,6737959.74
2015-10-15,252.47,256.5,250.3,254.44,5578740.83
2015-10-16,254.49,267.0,253.69,262.5,8783403.13
2015-10-17,263.09,273.0,260.8,268.99,6740958.58
2015-10-18,270.04,271.17,260.0,261.0,2553365.04
2015-10-19,260.99,266.01,259.82,264.43,4289133.96
2015-10-20,264.28,272.95,262.67,270.23,7638164.61
2015-10-21,270.3,272.69,264.0,267.8,5450048.68
2015-10-22,267.9,280.04,267.39,275.3,7665954.22
2015-10-23,275.12,280.19,273.46,277.71,5944078.44
2015-10-24,278.6,283.0,278.22,282.59,5618365.29
2015-10-25,283.03,296.0,282.2,288.27,8315290.02
2015-10-26,283.96,286.99,279.25,285.82,5898921.94
2015-10-27,286.9,300.0,286.15,295.17,9867602.57
2015-10-28,295.59,308.48,294.4,304.05,9258154.13
2015-10-29,304.77,319.6,301.7,313.73,9831879.91
2015-10-30,314.95,334.05,313.5,328.78,12367475.77
2015-10-31,328.15,334.67,302.99,310.06,9115142.28
2015-11-01,309.3,329.85,303.01,328.98,4435611.06
2015-11-02,325.78,369.02,320.0,361.98,15340060.07
2015-11-03,361.73,420.77,360.4,398.21,29231893.79
2015-11-04,404.55,502.0,368.11,404.3,45952886.39
2015-11-05,407.99,448.79,364.37,383.22,23867619.71
2015-11-06,387.77,396.67,353.26,371.79,17456826.57
2015-11-07,374.41,392.82,371.07,385.76,10058975.27
2015-11-08,384.62,390.47,366.18,371.87,10355751.72
2015-11-09,372.86,386.79,360.54,379.88,9477408.94
2015-11-10,378.32,381.44,323.63,337.69,17008397.14
2015-11-11,336.66,341.41,294.0,303.0,15939271.77
2015-11-12,309.9,344.78,308.42,334.94,11886431.63
2015-11-13,337.17,342.0,325.0,333.51,8106822.27
2015-11-14,336.28,356.1,325.45,331.61,8462312.91
2015-11-15,333.02,334.99,314.6,317.0,8768484.87
2015-11-16,319.3,332.2,315.0,330.9,6507645.44
2015-11-17,330.95,350.44,329.0,335.44,9214462.2
2015-11-18,336.0,337.89,330.28,337.06,8987857.94
2015-11-19,334.53,336.48,324.94,324.95,8856879.85
2015-11-20,326.51,327.73,310.0,321.5,6717727.46
2015-11-21,322.05,328.94,318.52,324.99,1599948.43
2015-11-22,326.5,326.6,320.13,323.11,1267230.48
2015-11-23,324.24,326.09,320.39,323.01,1616552.53
2015-11-24,323.48,323.5,317.0,318.42,2728746.78
2015-11-25,319.7,330.84,316.0,328.3,3953649.86
2015-11-26,328.9,369.7,328.53,356.39,12422273.47
2015-11-27,353.9,364.8,347.84,359.87,4695664.08
2015-11-28,357.14,359.44,350.41,356.39,2208751.82
2015-11-29,356.78,373.15,354.45,371.04,2798580.83
2015-11-30,371.48,383.0,367.11,377.98,6688039.27
2015-12-01,376.7,379.0,354.56,362.95,5610058.11
2015-12-02,363.06,363.06,348.64,359.97,4282488.25
2015-12-03,359.11,370.53,356.21,361.32,4394915.48
2015-12-04,361.48,364.3,355.92,362.3,3573289.38
2015-12-05,363.62,389.89,363.0,384.67,6173704.59
2015-12-06,388.0,399.85,383.0,394.6,5570564.08
2015-12-07,387.18,399.91,381.01,395.1,5800694.75
2015-12-08,394.96,409.0,388.33,409.0,3825649.71
2015-12-09,418.8,424.95,400.0,416.08,8641355.07
2015-12-10,416.98,419.79,408.91,416.28,3448586.43
2015-12-11,415.36,454.36,415.13,451.68,12399633.04
2015-12-12,452.99,467.8,403.0,435.87,12814616.39
2015-12-13,436.08,442.97,422.03,435.8,4885667.86
2015-12-14,432.89,448.12,428.42,442.37,5806064.93
2015-12-15,443.36,464.99,442.94,463.61,8006856.52
2015-12-16,464.5,465.0,436.89,455.1,10597761.52
2015-12-17,455.63,458.84,448.75,456.01,2979011.75
2015-12-18,455.87,466.64,453.5,463.0,5902097.11
2015-12-19,462.99,465.9,452.03,460.96,3097007.27
2015-12-20,461.8,462.0,433.83,441.48,7399332.35
2015-12-21,442.54,450.0,425.52,437.56,8188958.32
2015-12-22,438.07,443.58,433.06,436.15,3490906.28
2015-12-23,435.18,445.52,434.43,443.34,3048303.13
2015-12-24,442.5,459.54,442.5,455.71,4589002.87
2015-12-25,455.42,458.33,448.0,455.5,1299892.21
2015-12-26,455.51,457.45,407.25,417.42,11276027.93
2015-12-27,417.11,425.42,410.5,423.29,2864576.24
2015-12-28,421.57,429.86,417.01,420.7,3151306.04
2015-12-29,420.81,433.17,418.55,430.04,4321235.8
2015-12-30,431.7,434.97,420.75,427.05,3281609.6
2015-12-31,426.09,433.89,419.99,430.57,2811931.1
2016-01-01,430.89,436.0,427.2,434.98,1617803.31
2016-01-02,434.87,435.99,430.42,433.74,1260194.29
2016-01-03,433.2,434.09,424.06,430.85,1930486.92
2016-01-04,430.79,435.86,428.44,433.97,2467176.88
2016-01-05,434.17,435.39,429.5,431.89,1668756.45
2016-01-06,432.45,432.67,426.54,431.84,2291148.77
2016-01-07,429.99,457.79,429.25,457.79,7127390.53
2016-01-08,457.0,465.0,444.51,451.32,4654917.52
2016-01-09,452.02,454.0,446.68,449.95,1947311.14
2016-01-10,448.84,449.89,440.8,447.21,1772542.11
2016-01-11,448.79,451.13,438.0,448.99,3519698.03
2016-01-12,448.0,448.0,442.88,446.27,1826314.47
2016-01-13,434.89,438.35,424.5,432.53,4297337.64
2016-01-14,432.64,434.0,427.0,429.22,1889729.91
2016-01-15,429.55,429.8,365.0,372.85,13985318.0
2016-01-16,360.0,387.5,352.0,386.43,8790996.62
2016-01-17,387.28,391.14,376.0,382.85,3050025.47
2016-01-18,380.16,388.5,373.63,385.0,2662265.2
2016-01-19,385.47,386.92,375.59,379.88,2619071.74
2016-01-20,376.77,422.98,372.53,410.93,9829484.37
2016-01-21,418.9,421.25,404.59,410.03,3840395.14
2016-01-22,409.42,410.07,374.45,381.78,5581017.46
2016-01-23,382.85,395.0,381.05,386.92,2725952.77
2016-01-24,386.37,405.97,385.36,402.5,2139150.54
2016-01-25,402.16,402.31,385.5,392.58,3131070.89
2016-01-26,390.1,397.7,386.2,390.66,2497097.16
2016-01-27,391.77,397.0,390.31,395.0,1669789.13
2016-01-28,394.62,395.56,376.0,379.16,4329530.76
2016-01-29,379.55,383.99,363.73,379.44,5067927.64
2016-01-30,378.12,380.42,372.95,376.6,887062.39
2016-01-31,376.38,379.3,367.77,370.0,1407869.8
